
 「2023苗南海地景藝術節」國外藝術家駐地創作暨活動宣傳行銷執行委託專業服務案
                                   估價表


                                                                   (單位:元)
|編號|項   目            |單價    |數量 |單位  |總計    |備註                 |
|    |                   |        |     |      |        |小物。               |
|    |                   |        |     |      |        |2.假日在地藝文團體、 |
|    |                   |        |     |      |        |街頭藝人表演         |
|2   |藝文講座           |        |1    |場    |        |1.講師、教材、場地費 |
|    |                   |        |     |      |        |、誤餐費等。         |
|    |                   |        |     |      |        |2.參與民眾之邀請。   |
|3   |活動輔具           |        |1    |式    |        |活動T-shit至少250件、|
|    |                   |        |     |      |        |伴手禮至少100份、感謝|
|    |                   |        |     |      |        |狀（含裝框）等。     |
|4   |規劃假日市集小舖   |        |1    |式    |        |含攤位、帳篷設施、醫 |
|    |                   |        |     |      |        |護站等               |
|4-1 |攤位               |        |1    |式    |        |具文創及在地特色攤位 |
|    |                   |        |     |      |        |至少15攤             |
|4-2 |6M帳篷或帝王帳及歐 |        |1    |式    |        |1.記者會貴賓、民眾座 |
|    |式帳篷             |        |     |      |        |位區所需之           |
|    |                   |        |     |      |        |帝王帳篷租用搭設及拆 |
|    |                   |        |     |      |        |卸。                 |
|    |                   |        |     |      |        |2.活動攤位所需及服務 |
|    |                   |        |     |      |        |台、醫護             |
|    |                   |        |     |      |        |站、工作人員休息區之 |
|    |                   |        |     |      |        |帳篷租用             |
|    |                   |        |     |      |        |搭設及拆卸（含攤位牌 |
|    |                   |        |     |      |        |）。                 |
|4-3 |桌、椅租借         |        |1    |式    |        |1.服務台、救護站等所 |
|    |                   |        |     |      |        |需長條桌椅。         |
|    |                   |        |     |      |        |2.記者會靠背椅（含椅 |
|    |                   |        |     |      |        |套）：100張、        |
|    |                   |        |     |      |        |攤位區塑膠椅200張，含|
|    |                   |        |     |      |        |規劃及               |
|    |                   |        |     |      |        |擺放。               |
|5   |導覽小旅行         |        |2    |場    |        |1.參與民眾之邀請。   |
|    |                   |        |     |      |        |2.依活動性質辦理相關 |
|    |                   |        |     |      |        |保險事宜。           |
|六、其他                                                                    |
|1   |活動保險費         |        |1    |式    |        |1.藝術品綜合保險(含作|
|    |                   |        |     |      |        |品運送期             |
|    |                   |        |     |      |        |間、佈置、卸除及展示 |
|    |                   |        |     |      |        |期間）之             |
|    |                   |        |     |      |        |保險。               |
|    |                   |        |     |      |        |2.活動期間工作人員及 |
|    |                   |        |     |      |        |參與民眾之           |
|    |                   |        |     |      |        |公共意外險。         |
|2   |雜支               |        |1    |式    |        |1.提供本活動服務台、 |
|    |                   |        |     |      |        |茶水、誤餐、         |
|    |                   |        |     |      |        |活動接待等相  關工作 |
|    |                   |        |     |      |        |人員便               |
|    |                   |        |     |      |        |當、礦泉水。         |
|    |                   |        |     |      |        |2.活動期間硬體設備安 |
|    |                   |        |     |      |        |全維護。             |
|    |                   |        |     |      |        |3.場地租借必須支付之 |
|    |                   |        |     |      |        |所有費用。           |
|    |                   |        |     |      |        |4.活動期間，場地及廁 |
|    |                   |        |     |      |        |所清潔維護。         |
|    |                   |        |     |      |        |5.接駁車2輛於開幕活動|
|    |                   |        |     |      |        |接送工作             |
|    |                   |        |     |      |        |人員、志工往返。     |
|    |                   |        |     |      |        |6.製作成果報告書（含 |
|    |                   |        |     |      |        |電子檔）、活         |
|    |                   |        |     |      |        |動精彩片段光碟片。   |
|    |                   |        |     |      |        |7.活動期間內所需其他 |
|    |                   |        |     |      |        |須支應事項           |
|    |                   |        |     |      |        |及其他臨時性之開銷。 |
|3   |保全巡守費         |        |1    |式    |        |活動期間各場域展品安 |
|    |                   |        |     |      |        |全維護之保全巡守。   |
|合計新台幣                元整                                              |
|備 |廠商應依上述需求架構於服務建議書詳細規畫各工作細項內容及所需經費配置， |
|註 |俾作為嗣後議價簽約之基準。                                             |
|   |以上各項（內容、單位、數量）、規劃時如有不足或不符使用，投標廠商可調整 |
|   |。                                                                     |
|   |惟廠商所規畫配置之各工作細項內容及配置經費，倘有明顯不實或不當之情形， |
|   |本局仍得要求廠商改正，廠商應依實配合本局意見修正後始辦理簽約。         |
|   |廠商需配合本局整體行銷時提供本活動之相關照片、圖檔及文稿等宣傳資料。   |
|   |廠商需配合錄製提供本案成果報告書5份（含報告書、電子檔）及文宣圖檔及活動|
|   |照片等光碟片5份，權利歸屬本局供日後宣傳報導使用。                      |


委辦單位:                             負責人:





